Entry	Status	Gene ontology (molecular function)
Q9BSM1	reviewed	metal ion binding [GO:0046872]; promoter-specific chromatin binding [GO:1990841]; protein C-terminus binding [GO:0008022]
Q9BXM7	reviewed	ATP binding [GO:0005524]; C3HC4-type RING finger domain binding [GO:0055131]; calcium-dependent protein kinase activity [GO:0010857]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; peptidase activator activity [GO:0016504]; protease binding [GO:0002020]; protein kinase activity [GO:0004672]; protein kinase B binding [GO:0043422]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin protein ligase binding [GO:0031625]
Q9C029	reviewed	transferase activity [GO:0016740]; zinc ion binding [GO:0008270]
Q9H093	reviewed	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]
Q9H1R3	reviewed	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; myosin light chain binding [GO:0032027]; myosin light chain kinase activity [GO:0004687]
Q9H2K8	reviewed	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase inhibitor activity [GO:0004860]; protein serine/threonine kinase activity [GO:0004674]; transferase activity [GO:0016740]
Q9H469	reviewed	ubiquitin-protein transferase activity [GO:0004842]
Q9H9C5	unreviewed	thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]
Q9HCU5	reviewed	DNA binding [GO:0003677]; GTPase activator activity [GO:0005096]; GTPase binding [GO:0051020]; guanyl-nucleotide exchange factor activity [GO:0005085]; Sar guanyl-nucleotide exchange factor activity [GO:0005090]
Q9NP81	reviewed	ATP binding [GO:0005524]; RNA binding [GO:0003723]; serine-tRNA ligase activity [GO:0004828]
Q9NVF7	reviewed	
Q9NVX7	reviewed	
Q9NWG3	unreviewed	
Q9NWN3	reviewed	
Q9NWX5	reviewed	
Q9NY57	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
Q9P0U4	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter sequence-specific DNA binding [GO:0000987]; unmethylated CpG binding [GO:0045322]; zinc ion binding [GO:0008270]
Q9P215	reviewed	DNA binding [GO:0003677]
Q9P253	reviewed	actin binding [GO:0003779]; metal ion binding [GO:0046872]; protein binding, bridging [GO:0030674]; syntaxin binding [GO:0019905]
Q9P2G3	reviewed	
Q9P2N7	reviewed	
Q9UGR2	reviewed	metal ion binding [GO:0046872]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]
Q9UH90	reviewed	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q9UIX4	reviewed	delayed rectifier potassium channel activity [GO:0005251]; potassium channel activity [GO:0005267]; voltage-gated potassium channel activity [GO:0005249]
Q9UJX6	reviewed	ubiquitin protein ligase binding [GO:0031625]
Q9UK96	reviewed	ubiquitin-protein transferase activity [GO:0004842]
Q9UK97	reviewed	ubiquitin-protein transferase activity [GO:0004842]
Q9UKB1	reviewed	protein dimerization activity [GO:0046983]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q9UKC9	reviewed	calmodulin binding [GO:0005516]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]; protein phosphatase binding [GO:0019903]; ubiquitin-protein transferase activity [GO:0004842]
Q9UKT5	reviewed	protein homodimerization activity [GO:0042803]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q9UKT7	reviewed	ubiquitin-protein transferase activity [GO:0004842]
Q9UL18	reviewed	core promoter binding [GO:0001047]; double-stranded RNA binding [GO:0003725]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; single-stranded RNA binding [GO:0003727]
Q9UL58	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]
Q9UM07	reviewed	arginine binding [GO:0034618]; arginine deiminase activity [GO:0016990]; calcium ion binding [GO:0005509]; protein-arginine deiminase activity [GO:0004668]; protein homodimerization activity [GO:0042803]
Q9UM73	reviewed	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; NF-kappaB-inducing kinase activity [GO:0004704]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]
Q9UPE1	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q9UPZ9	reviewed	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q9UQ88	reviewed	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q9UQM7	reviewed	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; glutamate receptor binding [GO:0035254]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]
Q9Y2E6	reviewed	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q9Y2H1	reviewed	actin binding [GO:0003779]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]
Q9Y463	reviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; transcription coactivator activity [GO:0003713]
Q9Y574	reviewed	ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]
Q9Y696	reviewed	chloride channel activity [GO:0005254]; voltage-gated ion channel activity [GO:0005244]
Q9Y6S9	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
P08240	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]; signal recognition particle binding [GO:0005047]
P62906	reviewed	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q8N2Y8	reviewed	Rab GTPase binding [GO:0017137]
P08253	reviewed	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]
P08254	reviewed	endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]
P08263	reviewed	glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]
Q11201	reviewed	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity [GO:0003836]
P08311	reviewed	heparin binding [GO:0008201]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]
P08319	reviewed	alcohol dehydrogenase (NAD) activity [GO:0004022]; alcohol dehydrogenase activity, zinc-dependent [GO:0004024]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; all-trans retinal binding [GO:0005503]; benzaldehyde dehydrogenase activity [GO:0019115]; ethanol binding [GO:0035276]; NAD binding [GO:0051287]; NADPH:quinone reductase activity [GO:0003960]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; retinol binding [GO:0019841]; retinol dehydrogenase activity [GO:0004745]; zinc ion binding [GO:0008270]
P08397	reviewed	hydroxymethylbilane synthase activity [GO:0004418]
P08559	reviewed	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; pyruvate dehydrogenase (NAD+) activity [GO:0034604]; pyruvate dehydrogenase activity [GO:0004738]
P08567	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; protein homodimerization activity [GO:0042803]; protein kinase C binding [GO:0005080]
P08571	reviewed	lipopeptide binding [GO:0071723]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; opsonin receptor activity [GO:0001847]; peptidoglycan receptor activity [GO:0016019]
P20333	reviewed	tumor necrosis factor-activated receptor activity [GO:0005031]; tumor necrosis factor binding [GO:0043120]; ubiquitin protein ligase binding [GO:0031625]
Q96LZ3	reviewed	calcium ion binding [GO:0005509]
Q9NP61	reviewed	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; protein transporter activity [GO:0008565]
P10912	reviewed	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; growth hormone receptor activity [GO:0004903]; identical protein binding [GO:0042802]; peptide hormone binding [GO:0017046]; proline-rich region binding [GO:0070064]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]
P19235	reviewed	erythropoietin receptor activity [GO:0004900]; identical protein binding [GO:0042802]
P48357	reviewed	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; identical protein binding [GO:0042802]; leptin receptor activity [GO:0038021]; peptide hormone binding [GO:0017046]; transmembrane signaling receptor activity [GO:0004888]
P49023	reviewed	beta-catenin binding [GO:0008013]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; neuropilin binding [GO:0038191]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; ubiquitin protein ligase binding [GO:0031625]; vinculin binding [GO:0017166]
Q02763	reviewed	ATP binding [GO:0005524]; growth factor binding [GO:0019838]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]
Q13224	reviewed	glutamate binding [GO:0016595]; glutamate-gated calcium ion channel activity [GO:0022849]; glycine binding [GO:0016594]; NMDA glutamate receptor activity [GO:0004972]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; zinc ion binding [GO:0008270]
Q99569	reviewed	cadherin binding [GO:0045296]
P09661	reviewed	RNA binding [GO:0003723]; U2 snRNA binding [GO:0030620]
Q6S5L8	reviewed	protein domain specific binding [GO:0019904]; receptor tyrosine kinase binding [GO:0030971]
Q96IW2	reviewed	phosphotyrosine residue binding [GO:0001784]
Q9ULZ2	reviewed	macrophage colony-stimulating factor receptor binding [GO:0005157]; phospholipid binding [GO:0005543]; phosphotyrosine residue binding [GO:0001784]; protein kinase binding [GO:0019901]; SH3/SH2 adaptor activity [GO:0005070]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]
Q9BSB4	reviewed	identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]
Q13972	reviewed	glutamate receptor binding [GO:0035254]; guanyl-nucleotide exchange factor activity [GO:0005085]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]
P08637	reviewed	IgG binding [GO:0019864]
Q16524	unreviewed	DNA binding [GO:0003677]
Q8WYQ9	reviewed	nucleic acid binding [GO:0003676]; phosphatidylinositol binding [GO:0035091]; zinc ion binding [GO:0008270]
Q96J77	reviewed	
Q9BRT6	reviewed	basal RNA polymerase II transcription machinery binding [GO:0001099]; RNA binding [GO:0003723]
Q9H0I9	reviewed	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
P17600	reviewed	actin binding [GO:0003779]; ATP binding [GO:0005524]; calcium-dependent protein binding [GO:0048306]; protein kinase binding [GO:0019901]; transporter activity [GO:0005215]
P23490	reviewed	protein binding, bridging [GO:0030674]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of epidermis [GO:0030280]; structural molecule activity [GO:0005198]
P41219	reviewed	structural molecule activity [GO:0005198]
P60022	reviewed	CCR6 chemokine receptor binding [GO:0031731]; identical protein binding [GO:0042802]
Q13263	reviewed	chromatin binding [GO:0003682]; chromo shadow domain binding [GO:0070087]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; Krueppel-associated box domain binding [GO:0035851]; promoter-specific chromatin binding [GO:1990841]; protein kinase activity [GO:0004672]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; SUMO transferase activity [GO:0019789]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q13469	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; phosphatase binding [GO:0019902]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription factor binding [GO:0008134]
Q5JVS0	reviewed	RNA binding [GO:0003723]
Q5VU21	unreviewed	mRNA 3'-UTR binding [GO:0003730]
Q7Z763	unreviewed	DNA binding [GO:0003677]
Q8IYB7	reviewed	3'-5'-exoribonuclease activity [GO:0000175]; magnesium ion binding [GO:0000287]; poly(U) RNA binding [GO:0008266]; ribonuclease activity [GO:0004540]
Q8N283	reviewed	
Q8NC51	reviewed	cadherin binding [GO:0045296]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]
Q8NEY8	reviewed	RNA binding [GO:0003723]
Q96AE4	reviewed	DNA-binding transcription factor activity [GO:0003700]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]
Q9BQE3	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]
Q9BT92	reviewed	
Q9BXP5	reviewed	DNA binding [GO:0003677]; RNA binding [GO:0003723]
Q9HC98	reviewed	activating transcription factor binding [GO:0033613]; ATP binding [GO:0005524]; kinesin binding [GO:0019894]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; transcription corepressor binding [GO:0001222]; ubiquitin protein ligase binding [GO:0031625]
Q9NS87	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; motor activity [GO:0003774]
P08684	reviewed	caffeine oxidase activity [GO:0034875]; enzyme binding [GO:0019899]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; oxygen binding [GO:0019825]; steroid binding [GO:0005496]; steroid hydroxylase activity [GO:0008395]; testosterone 6-beta-hydroxylase activity [GO:0050649]; vitamin D 24-hydroxylase activity [GO:0070576]; vitamin D3 25-hydroxylase activity [GO:0030343]
P08697	reviewed	endopeptidase inhibitor activity [GO:0004866]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase inhibitor activity [GO:0004867]
P08709	reviewed	calcium ion binding [GO:0005509]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; signaling receptor binding [GO:0005102]
Q9BY27	reviewed	
Q9P1R8	unreviewed	
P46060	reviewed	cadherin binding [GO:0045296]; GTPase activator activity [GO:0005096]; Ran GTPase binding [GO:0008536]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]
Q9BSK3	unreviewed	GTPase activator activity [GO:0005096]
Q9P219	reviewed	dynein light intermediate chain binding [GO:0051959]; microtubule binding [GO:0008017]; PDZ domain binding [GO:0030165]; protein self-association [GO:0043621]
Q9UGC6	reviewed	GTPase activator activity [GO:0005096]
P08758	reviewed	calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; calcium-transporting ATPase activity [GO:0005388]; heparin binding [GO:0008201]; molecular adaptor activity [GO:0060090]; peptide hormone binding [GO:0017046]; phospholipase inhibitor activity [GO:0004859]; phospholipid binding [GO:0005543]; receptor tyrosine kinase binding [GO:0030971]
P37268	reviewed	farnesyl-diphosphate farnesyltransferase activity [GO:0004310]; squalene synthase activity [GO:0051996]
P22732	reviewed	fructose binding [GO:0070061]; fructose transmembrane transporter activity [GO:0005353]; glucose transmembrane transporter activity [GO:0005355]
P33897	reviewed	ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; fatty-acyl-CoA transmembrane transporter activity [GO:0015607]; identical protein binding [GO:0042802]; long-chain fatty acid transporter activity [GO:0005324]; protein homodimerization activity [GO:0042803]; transporter activity [GO:0005215]
P49748	reviewed	acyl-CoA dehydrogenase activity [GO:0003995]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; long-chain-acyl-CoA dehydrogenase activity [GO:0004466]; very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]
P63220	reviewed	protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P69892	reviewed	heme binding [GO:0020037]; metal ion binding [GO:0046872]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]
Q14749	reviewed	folic acid binding [GO:0005542]; glycine binding [GO:0016594]; glycine N-methyltransferase activity [GO:0017174]; identical protein binding [GO:0042802]
Q9H6K1	reviewed	ubiquitin binding [GO:0043130]
P08913	reviewed	adrenergic receptor activity [GO:0004935]; alpha-1B adrenergic receptor binding [GO:0031692]; alpha2-adrenergic receptor activity [GO:0004938]; alpha-2C adrenergic receptor binding [GO:0031696]; epinephrine binding [GO:0051379]; heterotrimeric G-protein binding [GO:0032795]; norepinephrine binding [GO:0051380]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; thioesterase binding [GO:0031996]
P08949	reviewed	hormone activity [GO:0005179]; neuromedin B receptor binding [GO:0031710]
Q13490	reviewed	chaperone binding [GO:0051087]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; FBXO family protein binding [GO:0098770]; identical protein binding [GO:0042802]; protein N-terminus binding [GO:0047485]; transcription coactivator activity [GO:0003713]; transferase activity [GO:0016740]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
P09012	reviewed	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; snRNA stem-loop binding [GO:0035614]; U1 snRNA binding [GO:0030619]; U1 snRNP binding [GO:1990446]
P98179	reviewed	mRNA 3'-UTR binding [GO:0003730]; poly(U) RNA binding [GO:0008266]; ribosomal large subunit binding [GO:0043023]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; translation repressor activity [GO:0030371]
Q14011	reviewed	mRNA 3'-UTR binding [GO:0003730]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; translation repressor activity [GO:0030371]
Q8N6R0	reviewed	methyltransferase activity [GO:0008168]
Q9BQ61	reviewed	3'-5' exonuclease activity [GO:0008408]; 5'-3' exonuclease activity [GO:0008409]; RNA binding [GO:0003723]
Q9H3J7	unreviewed	
P43268	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q15326	reviewed	double-stranded DNA binding [GO:0003690]; methylated histone binding [GO:0035064]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]
Q8IY51	reviewed	DNA binding [GO:0003677]
Q8TBC5	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]
Q92826	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; methyl-CpG binding [GO:0008327]; sequence-specific DNA binding [GO:0043565]
Q9H765	reviewed	
Q9UIV1	reviewed	3'-5'-exoribonuclease activity [GO:0000175]; DNA-binding transcription factor activity [GO:0003700]; exoribonuclease activity [GO:0004532]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q8IZ81	reviewed	GTPase activator activity [GO:0005096]
P09067	reviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
P19367	reviewed	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; identical protein binding [GO:0042802]; mannokinase activity [GO:0019158]; peptidoglycan binding [GO:0042834]
P78542	unreviewed	hexokinase activity [GO:0004396]
Q16842	reviewed	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity [GO:0003836]; monosialoganglioside sialyltransferase activity [GO:0047288]
Q59FD4	unreviewed	ATP binding [GO:0005524]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]
Q7LD69	unreviewed	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]
Q8NAS7	unreviewed	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]
Q96MC5	reviewed	
Q9UHF5	reviewed	cytokine activity [GO:0005125]
Q9UMP7	unreviewed	
Q8TAC1	reviewed	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
P09110	reviewed	acetate CoA-transferase activity [GO:0008775]; acetyl-CoA C-acyltransferase activity [GO:0003988]; palmitoyl-CoA oxidase activity [GO:0016401]
P09131	reviewed	symporter activity [GO:0015293]
Q9BX66	reviewed	actin binding [GO:0003779]; cytoskeletal protein binding [GO:0008092]; insulin receptor binding [GO:0005158]; SH3/SH2 adaptor activity [GO:0005070]
P09132	reviewed	7S RNA binding [GO:0008312]; RNA binding [GO:0003723]
P09211	reviewed	dinitrosyl-iron complex binding [GO:0035731]; drug binding [GO:0008144]; glutathione binding [GO:0043295]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; JUN kinase binding [GO:0008432]; kinase regulator activity [GO:0019207]; nitric oxide binding [GO:0070026]; S-nitrosoglutathione binding [GO:0035730]
Q9H7N4	reviewed	protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; RNA polymerase II C-terminal domain binding [GO:0099122]
P09228	reviewed	cysteine-type endopeptidase inhibitor activity [GO:0004869]
P57052	reviewed	poly(U) RNA binding [GO:0008266]; protein homodimerization activity [GO:0042803]; single-stranded RNA binding [GO:0003727]
Q8N302	reviewed	nucleic acid binding [GO:0003676]
P09326	reviewed	antigen binding [GO:0003823]; signaling receptor activity [GO:0038023]
Q8TDN6	reviewed	RNA binding [GO:0003723]
Q9H7G6	unreviewed	translation elongation factor activity [GO:0003746]
Q9NUW4	unreviewed	
P09327	reviewed	actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; identical protein binding [GO:0042802]; lysophosphatidic acid binding [GO:0035727]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; protein homodimerization activity [GO:0042803]
P09382	reviewed	lactose binding [GO:0030395]; laminin binding [GO:0043236]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]
Q9Y5A3	unreviewed	
P09429	reviewed	bubble DNA binding [GO:0000405]; calcium-dependent protein kinase regulator activity [GO:0010858]; chemoattractant activity [GO:0042056]; C-X-C chemokine binding [GO:0019958]; cytokine activity [GO:0005125]; damaged DNA binding [GO:0003684]; DNA binding, bending [GO:0008301]; DNA-binding transcription factor activity [GO:0003700]; DNA polymerase binding [GO:0070182]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; four-way junction DNA binding [GO:0000400]; integrin binding [GO:0005178]; lipopolysaccharide binding [GO:0001530]; lyase activity [GO:0016829]; phosphatidylserine binding [GO:0001786]; protein kinase activator activity [GO:0030295]; RAGE receptor binding [GO:0050786]; repressing transcription factor binding [GO:0070491]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; supercoiled DNA binding [GO:0097100]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
P09430	reviewed	DNA binding [GO:0003677]
P09455	reviewed	all-trans-retinol binding [GO:1904768]; retinal binding [GO:0016918]; retinoid binding [GO:0005501]
P09466	reviewed	small molecule binding [GO:0036094]
Q96HH9	reviewed	identical protein binding [GO:0042802]
P26717	reviewed	carbohydrate binding [GO:0030246]; MHC class I protein complex binding [GO:0023024]; protein antigen binding [GO:1990405]; transmembrane signaling receptor activity [GO:0004888]
Q63HM2	reviewed	
P09471	reviewed	corticotropin-releasing hormone receptor 1 binding [GO:0051430]; G-protein beta/gamma-subunit complex binding [GO:0031683]; G protein-coupled receptor binding [GO:0001664]; G protein-coupled serotonin receptor binding [GO:0031821]; GTPase activating protein binding [GO:0032794]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; mu-type opioid receptor binding [GO:0031852]
P09486	reviewed	calcium ion binding [GO:0005509]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]
P09488	reviewed	enzyme binding [GO:0019899]; glutathione binding [GO:0043295]; glutathione transferase activity [GO:0004364]; protein homodimerization activity [GO:0042803]
P21266	reviewed	enzyme binding [GO:0019899]; glutathione binding [GO:0043295]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]
Q8TC20	reviewed	
V9HW56	unreviewed	
P09496	reviewed	clathrin heavy chain binding [GO:0032050]; GTPase binding [GO:0051020]; peptide binding [GO:0042277]; protein-containing complex binding [GO:0044877]; structural molecule activity [GO:0005198]
P17405	reviewed	acid sphingomyelin phosphodiesterase activity [GO:0061750]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; phosphoric diester hydrolase activity [GO:0008081]; sphingomyelin phosphodiesterase activity [GO:0004767]; zinc ion binding [GO:0008270]
P09529	reviewed	cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; hormone activity [GO:0005179]; host cell surface receptor binding [GO:0046789]; protein homodimerization activity [GO:0042803]; transforming growth factor beta receptor binding [GO:0005160]
